1,1,19,-1
1,1,15,-1
1,1,31,-1
1,1,43,-1
1,1,23,-1
1,2,45,0
1,2,34,0
1,2,12,1
1,2,8,4
1,2,19,0
1,2,23,2
1,2,4,0
1,2,40,3
1,2,15,1
1,2,11,1
1,2,9,1
1,2,44,0
1,2,33,3
1,2,22,1
1,2,26,2
1,2,37,2
1,2,13,1
1,2,46,3
1,2,24,1
1,2,35,4
1,2,16,3
1,2,5,1
1,2,10,0
1,2,48,0
1,2,21,1
1,2,43,0
1,2,32,2
1,2,49,1
1,2,6,2
1,2,36,2
1,2,1,1
1,2,39,2
1,2,17,1
1,2,25,0
1,2,14,1
1,2,47,1
1,2,31,1
1,2,42,1
1,2,0,1
1,2,20,0
1,2,27,0
1,2,2,1
1,2,38,0
1,2,18,2
1,2,30,2
1,2,7,1
1,2,29,0
1,2,41,0
1,2,3,3
1,2,28,1
1,3,45,0
1,3,34,0
1,3,12,0
1,3,8,0
1,3,19,0
1,3,23,2
1,3,4,0
1,3,40,0
1,3,15,1
1,3,11,0
1,3,9,0
1,3,44,0
1,3,33,0
1,3,22,0
1,3,26,0
1,3,37,0
1,3,13,0
1,3,46,0
1,3,24,0
1,3,35,0
1,3,16,0
1,3,5,0
1,3,10,0
1,3,48,0
1,3,21,0
1,3,43,0
1,3,32,0
1,3,49,0
1,3,6,0
1,3,36,0
1,3,1,0
1,3,39,0
1,3,17,0
1,3,25,0
1,3,14,0
1,3,47,0
1,3,31,1
1,3,42,0
1,3,0,0
1,3,20,0
1,3,27,0
1,3,2,0
1,3,38,0
1,3,18,0
1,3,30,0
1,3,7,0
1,3,29,0
1,3,41,0
1,3,3,0
1,3,28,0
